------------------------------------------------------------------------------
lr=0.0001, momentum=0.9, weight_decay=0.01 dropout=0.5

Fold 1/5
Epoch [24/30], Train Loss: 0.1121, Train Acc: 0.9714, Val Loss: 0.1449, Val Acc: 0.9386, F1 Score: 0.9375, Recall: 0.9366, Precision: 0.9386, Sensitivity: 0.9200, Specificity: 0.9531, MCC: 0.8752, AUC: 0.9366
Epoch [25/30], Train Loss: 0.1156, Train Acc: 0.9626, Val Loss: 0.1649, Val Acc: 0.9386, F1 Score: 0.9377, Recall: 0.9377, Precision: 0.9377, Sensitivity: 0.9300, Specificity: 0.9453, MCC: 0.8753, AUC: 0.9377
Epoch [26/30], Train Loss: 0.1196, Train Acc: 0.9571, Val Loss: 0.1619, Val Acc: 0.9254, F1 Score: 0.9242, Recall: 0.9238, Precision: 0.9247, Sensitivity: 0.9100, Specificity: 0.9375, MCC: 0.8485, AUC: 0.9238
Epoch [27/30], Train Loss: 0.1048, Train Acc: 0.9692, Val Loss: 0.1429, Val Acc: 0.9342, F1 Score: 0.9333, Recall: 0.9338, Precision: 0.9328, Sensitivity: 0.9300, Specificity: 0.9375, MCC: 0.8666, AUC: 0.9338
Epoch [28/30], Train Loss: 0.1106, Train Acc: 0.9681, Val Loss: 0.1624, Val Acc: 0.9298, F1 Score: 0.9289, Recall: 0.9298, Precision: 0.9281, Sensitivity: 0.9300, Specificity: 0.9297, MCC: 0.8579, AUC: 0.9298
Epoch [29/30], Train Loss: 0.1029, Train Acc: 0.9692, Val Loss: 0.1280, Val Acc: 0.9386, F1 Score: 0.9377, Recall: 0.9377, Precision: 0.9377, Sensitivity: 0.9300, Specificity: 0.9453, MCC: 0.8753, AUC: 0.9377
Epoch [30/30], Train Loss: 0.1151, Train Acc: 0.9703, Val Loss: 0.1354, Val Acc: 0.9342, F1 Score: 0.9330, Recall: 0.9316, Precision: 0.9347, Sensitivity: 0.9100, Specificity: 0.9531, MCC: 0.8663, AUC: 0.9316
Fold 2/5
Epoch [1/30], Train Loss: 2.6907, Train Acc: 0.4824, Val Loss: 0.5129, Val Acc: 0.7895, F1 Score: 0.7867, Recall: 0.7895, Precision: 0.8054, Sensitivity: 0.6754, Specificity: 0.9035, MCC: 0.5946, AUC: 0.7895
Epoch [2/30], Train Loss: 0.4397, Train Acc: 0.8077, Val Loss: 0.3254, Val Acc: 0.8465, F1 Score: 0.8443, Recall: 0.8465, Precision: 0.8671, Sensitivity: 0.9649, Specificity: 0.7281, MCC: 0.7133, AUC: 0.8465
Epoch [3/30], Train Loss: 0.3237, Train Acc: 0.8714, Val Loss: 0.3366, Val Acc: 0.8509, F1 Score: 0.8489, Recall: 0.8509, Precision: 0.8701, Sensitivity: 0.7368, Specificity: 0.9649, MCC: 0.7207, AUC: 0.8509
Epoch [4/30], Train Loss: 0.2599, Train Acc: 0.8912, Val Loss: 0.2105, Val Acc: 0.8728, F1 Score: 0.8723, Recall: 0.8728, Precision: 0.8794, Sensitivity: 0.8070, Specificity: 0.9386, MCC: 0.7522, AUC: 0.8728
Epoch [5/30], Train Loss: 0.2507, Train Acc: 0.9000, Val Loss: 0.1997, Val Acc: 0.9123, F1 Score: 0.9120, Recall: 0.9123, Precision: 0.9169, Sensitivity: 0.9649, Specificity: 0.8596, MCC: 0.8292, AUC: 0.9123
Epoch [6/30], Train Loss: 0.2372, Train Acc: 0.9044, Val Loss: 0.1890, Val Acc: 0.9298, F1 Score: 0.9297, Recall: 0.9298, Precision: 0.9332, Sensitivity: 0.9737, Specificity: 0.8860, MCC: 0.8630, AUC: 0.9298
Epoch [7/30], Train Loss: 0.2036, Train Acc: 0.9231, Val Loss: 0.1607, Val Acc: 0.9342, F1 Score: 0.9342, Recall: 0.9342, Precision: 0.9350, Sensitivity: 0.9123, Specificity: 0.9561, MCC: 0.8693, AUC: 0.9342
Epoch [8/30], Train Loss: 0.1964, Train Acc: 0.9330, Val Loss: 0.1499, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9386, Precision: 0.9387, Sensitivity: 0.9474, Specificity: 0.9298, MCC: 0.8773, AUC: 0.9386
Epoch [9/30], Train Loss: 0.1653, Train Acc: 0.9352, Val Loss: 0.1604, Val Acc: 0.9474, F1 Score: 0.9474, Recall: 0.9474, Precision: 0.9475, Sensitivity: 0.9561, Specificity: 0.9386, MCC: 0.8949, AUC: 0.9474
Epoch [10/30], Train Loss: 0.1710, Train Acc: 0.9308, Val Loss: 0.1926, Val Acc: 0.9123, F1 Score: 0.9119, Recall: 0.9123, Precision: 0.9186, Sensitivity: 0.8509, Specificity: 0.9737, MCC: 0.8309, AUC: 0.9123
Epoch [11/30], Train Loss: 0.1445, Train Acc: 0.9451, Val Loss: 0.1453, Val Acc: 0.9430, F1 Score: 0.9429, Recall: 0.9430, Precision: 0.9458, Sensitivity: 0.9825, Specificity: 0.9035, MCC: 0.8887, AUC: 0.9430
Epoch [12/30], Train Loss: 0.1296, Train Acc: 0.9538, Val Loss: 0.1346, Val Acc: 0.9474, F1 Score: 0.9473, Recall: 0.9474, Precision: 0.9486, Sensitivity: 0.9737, Specificity: 0.9211, MCC: 0.8960, AUC: 0.9474
Epoch [13/30], Train Loss: 0.1363, Train Acc: 0.9538, Val Loss: 0.1530, Val Acc: 0.9430, F1 Score: 0.9430, Recall: 0.9430, Precision: 0.9433, Sensitivity: 0.9561, Specificity: 0.9298, MCC: 0.8863, AUC: 0.9430
Epoch [14/30], Train Loss: 0.1373, Train Acc: 0.9527, Val Loss: 0.1341, Val Acc: 0.9561, F1 Score: 0.9561, Recall: 0.9561, Precision: 0.9567, Sensitivity: 0.9737, Specificity: 0.9386, MCC: 0.9128, AUC: 0.9561
Epoch [15/30], Train Loss: 0.1403, Train Acc: 0.9527, Val Loss: 0.1487, Val Acc: 0.9298, F1 Score: 0.9298, Recall: 0.9298, Precision: 0.9304, Sensitivity: 0.9474, Specificity: 0.9123, MCC: 0.8602, AUC: 0.9298
Epoch [16/30], Train Loss: 0.1266, Train Acc: 0.9604, Val Loss: 0.1463, Val Acc: 0.9342, F1 Score: 0.9342, Recall: 0.9342, Precision: 0.9350, Sensitivity: 0.9561, Specificity: 0.9123, MCC: 0.8693, AUC: 0.9342
Epoch [17/30], Train Loss: 0.1345, Train Acc: 0.9582, Val Loss: 0.1434, Val Acc: 0.9430, F1 Score: 0.9429, Recall: 0.9430, Precision: 0.9447, Sensitivity: 0.9737, Specificity: 0.9123, MCC: 0.8876, AUC: 0.9430
Epoch [18/30], Train Loss: 0.1366, Train Acc: 0.9505, Val Loss: 0.1390, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9386, Precision: 0.9386, Sensitivity: 0.9386, Specificity: 0.9386, MCC: 0.8772, AUC: 0.9386
Epoch [19/30], Train Loss: 0.1315, Train Acc: 0.9527, Val Loss: 0.1474, Val Acc: 0.9342, F1 Score: 0.9342, Recall: 0.9342, Precision: 0.9350, Sensitivity: 0.9561, Specificity: 0.9123, MCC: 0.8693, AUC: 0.9342
Epoch [20/30], Train Loss: 0.1286, Train Acc: 0.9549, Val Loss: 0.1242, Val Acc: 0.9518, F1 Score: 0.9517, Recall: 0.9518, Precision: 0.9546, Sensitivity: 0.9912, Specificity: 0.9123, MCC: 0.9063, AUC: 0.9518
Epoch [21/30], Train Loss: 0.1235, Train Acc: 0.9571, Val Loss: 0.1532, Val Acc: 0.9474, F1 Score: 0.9473, Recall: 0.9474, Precision: 0.9486, Sensitivity: 0.9737, Specificity: 0.9211, MCC: 0.8960, AUC: 0.9474
Epoch [22/30], Train Loss: 0.1354, Train Acc: 0.9560, Val Loss: 0.1358, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9386, Precision: 0.9391, Sensitivity: 0.9561, Specificity: 0.9211, MCC: 0.8777, AUC: 0.9386
